service_category,service_name,cost,description
Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
Hair,Haircut,48,Haircut under category Hair cost of service is 48 Basic haircut and styling
Massage,Deep Tissue Massage,77,Deep Tissue Massage under category Massage cost of service is 77 Intense massage focused on deep tissue layers
Massage,Swedish Massage,62,Swedish Massage under category Massage cost of service is 62 Relaxing full-body massage using Swedish techniques
Massage,Hot Stone Massage,88,Hot Stone Massage under category Massage cost of service is 88 Massage using heated stones to relieve tension
Massage,Deep Tissue Massage,77,Deep Tissue Massage under category Massage cost of service is 77 Intense massage focused on deep tissue layers
Hair,Temporary Hair Coloring,69,Temporary Hair Coloring under category Hair cost of service is 69 Full hair coloring service
Hair,Hair Treatment,52,Hair Treatment under category Hair cost of service is 52 Treatment to improve hair health
Hair,Haircut,48,Haircut under category Hair cost of service is 48 Basic haircut and styling
Hair,Pixie Haircut,48,"Pixie Haircut under category Hair cost of service is 48 This is one of the most popular haircuts for women. We adore a lady who isn’t scared to toss out her lengthy locks in favour of a perfectly cut pixie. The style is elegant, classic, and always in style"
Hair,Side-Swept Crop Haircut,48,"Side-Swept Crop Haircut under category Hair cost of service is 48 If you take the plunge and get this cut, you’ll have many people calling you brave. But it will create a lasting impact and impression for sure. The deep part and long bangs make it look edgy yet so elegant"
Hair,Blunt Lob Haircut,48,"Blunt Lob Haircut under category Hair cost of service is 48 This cut is relatively new to the scene. But it’s bound to be a classic! The blunt ends, with a sleek texture, and a distinguishable face-framing silhouette make this look universally flattering and so chic."
Hair,Choppy Bob Haircut,48,"Choppy Bob Haircut under category Hair cost of service is 48 Perfect for those with thin hair, this bob features a deep side part that will give the illusion of a lot of volume"
Hair,Face-Framing Waves Haircut,48,Face-Framing Waves Haircut under category Hair cost of service is 48 The best part about face-framing waves is that they suit almost every face shape whether it’s a rectangle or oval. The best way to pull off this look is to embrace your natural texture and work with that. It’s that easy
Hair,Fusio Scrub + Urban Hair Treatment Hair Treatment,52,Fusio Scrub + Urban Hair Treatment Hair Treatment under category Hair cost of service is 52 A detox treatment that restores the health of your scalp and deeply purifies the hair through a scrub which is then associated with a personalized and specific treatment
Hair,LAMINATING Hair Treatment,52,"LAMINATING Hair Treatment under category Hair cost of service is 52 To maintain color and elasticity, predict hair breakage . It has a rolling effect by creating the film around the hair. Duration of effect 1.5-2 months"
Hair,Balayage Hair Coloring,69,"Balayage Hair Coloring under category Hair cost of service is 69 This stunning freehand technique turns your hair into a modern work of art. Color is painted onto the hair to create a graduated, more natural looking highlight. Let us prove we’re the best balayage salon for you – schedule an appointment today to enjoy gorgeous and long lasting dimension and color"
Massage,"Head, Hands, and Feet Massage",62,"Head, Hands, and Feet Massage under category Massage cost of service is 62 This therapy blends several massage techniques on the hands and feet with a relaxing scalp massage to provide relaxation and detoxification"
Massage,LAVA STONE Massage,88,LAVA STONE Massage under category Massage cost of service is 88 Warm basalt stones and cool marble stones are incorporated into this luxurious treatment to achieve the ultimate in relaxation
