service_id,service_category,service_name,cost,description
e1beca05-ca7f-491c-a240-f15c306b583f,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
3472a0fe-5ddf-4643-84f6-9e58d849c627,Hair,Haircut,48,Basic haircut and styling
025221ac-7067-47ba-9858-893096b5ad9d,Hair,Hair Treatment,52,Treatment to improve hair health
0a920d4a-062e-4072-b010-1fd71af8fb1e,Hair,Hair Coloring,69,Full hair coloring service
303c3cc0-1436-480c-9c6d-d863b0456a91,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
7f416077-4368-4bea-b461-c4d644d80281,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
7f416077-4368-4bea-b461-c4d644d80281,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
0a920d4a-062e-4072-b010-1fd71af8fb1e,Hair,Hair Coloring,69,Full hair coloring service
303c3cc0-1436-480c-9c6d-d863b0456a91,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
e1beca05-ca7f-491c-a240-f15c306b583f,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
3472a0fe-5ddf-4643-84f6-9e58d849c627,Hair,Haircut,48,Basic haircut and styling
0a920d4a-062e-4072-b010-1fd71af8fb1e,Hair,Hair Coloring,69,Full hair coloring service
7f416077-4368-4bea-b461-c4d644d80281,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
e1beca05-ca7f-491c-a240-f15c306b583f,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
e1beca05-ca7f-491c-a240-f15c306b583f,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
3472a0fe-5ddf-4643-84f6-9e58d849c627,Hair,Haircut,48,Basic haircut and styling
303c3cc0-1436-480c-9c6d-d863b0456a91,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
7f416077-4368-4bea-b461-c4d644d80281,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
303c3cc0-1436-480c-9c6d-d863b0456a91,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
3472a0fe-5ddf-4643-84f6-9e58d849c627,Hair,Haircut,48,Basic haircut and styling
025221ac-7067-47ba-9858-893096b5ad9d,Hair,Hair Treatment,52,Treatment to improve hair health
303c3cc0-1436-480c-9c6d-d863b0456a91,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
7f416077-4368-4bea-b461-c4d644d80281,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
025221ac-7067-47ba-9858-893096b5ad9d,Hair,Hair Treatment,52,Treatment to improve hair health
303c3cc0-1436-480c-9c6d-d863b0456a91,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
0a920d4a-062e-4072-b010-1fd71af8fb1e,Hair,Hair Coloring,69,Full hair coloring service
303c3cc0-1436-480c-9c6d-d863b0456a91,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
025221ac-7067-47ba-9858-893096b5ad9d,Hair,Hair Treatment,52,Treatment to improve hair health
303c3cc0-1436-480c-9c6d-d863b0456a91,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
7f416077-4368-4bea-b461-c4d644d80281,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
025221ac-7067-47ba-9858-893096b5ad9d,Hair,Hair Treatment,52,Treatment to improve hair health
303c3cc0-1436-480c-9c6d-d863b0456a91,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
3472a0fe-5ddf-4643-84f6-9e58d849c627,Hair,Haircut,48,Basic haircut and styling
3472a0fe-5ddf-4643-84f6-9e58d849c627,Hair,Haircut,48,Basic haircut and styling
e1beca05-ca7f-491c-a240-f15c306b583f,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
7f416077-4368-4bea-b461-c4d644d80281,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
3472a0fe-5ddf-4643-84f6-9e58d849c627,Hair,Haircut,48,Basic haircut and styling
3472a0fe-5ddf-4643-84f6-9e58d849c627,Hair,Haircut,48,Basic haircut and styling
7f416077-4368-4bea-b461-c4d644d80281,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
3472a0fe-5ddf-4643-84f6-9e58d849c627,Hair,Haircut,48,Basic haircut and styling
3472a0fe-5ddf-4643-84f6-9e58d849c627,Hair,Haircut,48,Basic haircut and styling
e1beca05-ca7f-491c-a240-f15c306b583f,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
303c3cc0-1436-480c-9c6d-d863b0456a91,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
3472a0fe-5ddf-4643-84f6-9e58d849c627,Hair,Haircut,48,Basic haircut and styling
e1beca05-ca7f-491c-a240-f15c306b583f,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
e1beca05-ca7f-491c-a240-f15c306b583f,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
7f416077-4368-4bea-b461-c4d644d80281,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
0a920d4a-062e-4072-b010-1fd71af8fb1e,Hair,Hair Coloring,69,Full hair coloring service
025221ac-7067-47ba-9858-893096b5ad9d,Hair,Hair Treatment,52,Treatment to improve hair health
3472a0fe-5ddf-4643-84f6-9e58d849c627,Hair,Haircut,48,Basic haircut and styling
e1beca05-ca7f-491c-a240-f15c306b583f,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
0a920d4a-062e-4072-b010-1fd71af8fb1e,Hair,Hair Coloring,69,Full hair coloring service
