service_id,service_category,service_name,cost,description
34bcb9eb-785c-45b9-aeaf-4696e5771d91,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
7a07c675-3154-45b9-8a6a-4278808f66fc,Hair,Haircut,48,Basic haircut and styling
77e57153-5812-4ffb-88f1-c7cad2f9dbb0,Hair,Hair Treatment,52,Treatment to improve hair health
42a0d06a-9dc1-410f-909b-f8183e7a76ec,Hair,Hair Coloring,69,Full hair coloring service
906df7fb-7492-47d0-9b6d-eb6445fe2aad,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
03e4be02-a367-4a16-ac96-d5b688b9f553,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
77c6e0ec-059c-4c4e-a6a8-b3d90683128b,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
df4e1544-55a2-44d5-b6b2-e70f34ebac30,Hair,Hair Coloring,69,Full hair coloring service
277e3e67-2081-417f-8360-332b11b1e6ae,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
7de06452-fa67-4bf5-9236-51f16ba63f74,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
b15750ab-ff23-4a3c-ac0f-1189f3b71f83,Hair,Haircut,48,Basic haircut and styling
f4d37c31-013a-450f-987c-d412fa8bbe6c,Hair,Hair Coloring,69,Full hair coloring service
4b814c19-b46f-4e2a-b27b-c7698d1ac80e,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
d4792ef4-4ce6-4eb1-af2d-ce7e66cbf6ac,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
f36a866d-e993-44ce-9ad3-c0045d651f06,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
bc2c53ab-4576-4665-8846-094635048900,Hair,Haircut,48,Basic haircut and styling
e5469225-184a-4bbd-8412-64f63c61ac03,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
43e33756-521d-4b8a-9329-754c1cf21625,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
434a3460-257e-402f-bda4-0ca87a1e7be0,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
a8a0abbf-231b-4da1-8130-fb751b9f3ea9,Hair,Haircut,48,Basic haircut and styling
0903d5b5-431d-4b91-9aa8-23c75fd6b0de,Hair,Hair Treatment,52,Treatment to improve hair health
45c2878d-b149-4228-ba15-1f22b63953b8,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
229ba0f8-e6ab-49e3-a3e4-c0f48bd17401,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
d967db14-e7ed-45c4-bdc1-06836cdeb13c,Hair,Hair Treatment,52,Treatment to improve hair health
35e33dbb-3b83-4da6-9793-20500893ca22,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
8ff6e64d-e711-4aaa-9736-b9454f98c3ad,Hair,Hair Coloring,69,Full hair coloring service
db5b92e3-9568-46ca-b9aa-b3248edbf38a,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
fb075b51-c5ad-444d-9fea-0a3d05d71c9c,Hair,Hair Treatment,52,Treatment to improve hair health
b55e5977-5f0c-4766-86ff-18f1b10264c9,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
88c41c77-55b0-46fb-8085-dc5fced511c0,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
586e7d91-0147-41d7-bc5e-face75be0499,Hair,Hair Treatment,52,Treatment to improve hair health
6eb7ddb0-c888-4a06-a02f-c7dca9f8208a,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
da4bb6bd-7bbe-4c04-95d6-366e3097305a,Hair,Haircut,48,Basic haircut and styling
625260a8-d249-4024-a0ab-9c016d799ec0,Hair,Haircut,48,Basic haircut and styling
b48374c7-3f6b-4b4c-9bae-7fb3e125b901,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
0f8f054c-2f0c-4bcc-b39a-182817527ab7,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
5efc86fe-ced2-4d6e-88a7-8b3530110c1d,Hair,Haircut,48,Basic haircut and styling
4e0250bd-5f17-4605-826c-6c6b9b50d23d,Hair,Haircut,48,Basic haircut and styling
506c4cf6-d925-41dd-9657-0b9843356d80,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
1def79ed-4aca-4511-8542-4bc37a393557,Hair,Haircut,48,Basic haircut and styling
643c0de2-93d2-4826-b1f2-298530327f36,Hair,Haircut,48,Basic haircut and styling
b27e8366-fca9-4692-bc8f-a7e4cc5b1ea9,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
acb898c3-eb3c-462c-a42e-fb60229aaac8,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
b200949e-eb4c-4ab9-871d-48238cfb144e,Hair,Haircut,48,Basic haircut and styling
73731300-de26-48e0-a0da-3dd8c6f03477,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
47f8339d-9162-4fe5-8fd8-c53d2b65d478,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
6a96b64d-73da-4ae0-8087-fd4721976d2f,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
e450e5da-6684-47da-8e31-16caeee5715b,Hair,Hair Coloring,69,Full hair coloring service
3299c0ff-b7ad-491c-b319-72f19095a5ef,Hair,Hair Treatment,52,Treatment to improve hair health
bcadcb7d-6e47-4753-ac8d-e21eeeb280b6,Hair,Haircut,48,Basic haircut and styling
c2fe6461-0465-4040-b6f4-459ba432d4c8,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
4bf6c926-27d5-4792-8c24-290b523c0e98,Hair,Hair Coloring,69,Full hair coloring service
ffa9bc0e-fcf8-4eeb-b5a0-d046cc138f03,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
109c6e57-21de-4b31-ad06-d38a99ed0c56,Hair,Haircut,48,Basic haircut and styling
76f38e8c-5bda-425d-9152-7f6b5bb4979f,Hair,Haircut,48,Basic haircut and styling
53e0704d-2b10-4291-85b6-bc71a2151dca,Hair,Hair Coloring,69,Full hair coloring service
9a738618-0afc-4930-9a31-dd27f477b70c,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
0baef427-e3c2-4d70-81ca-14d943c9b429,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
aa81f6f0-35e2-46d4-9bb5-66bfd0d9c4a6,Hair,Haircut,48,Basic haircut and styling
505d7af0-0830-4df6-a672-d2e4a3f4e048,Hair,Hair Coloring,69,Full hair coloring service
491d42b9-4f28-44b5-b71c-bcf5bdfc7272,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
47c1e7c1-8ca4-44b4-9f55-bd3a98052b6e,Hair,Hair Treatment,52,Treatment to improve hair health
1209ad34-640a-410e-b742-46cc759af03f,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
d99d55ca-4e04-4ead-b377-dbbb2a2aed5c,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
1f0b75bc-3333-4195-b834-f608cbcbf87b,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
2fd0cefd-3e45-4165-8441-01be0742bf31,Hair,Hair Coloring,69,Full hair coloring service
a7bd8453-289e-42fd-a023-b0fbfc3442bb,Hair,Haircut,48,Basic haircut and styling
4f9c93ad-a267-45ed-b7b8-b8c1c6184ec3,Hair,Hair Treatment,52,Treatment to improve hair health
065ad7d1-ce8f-4a2f-bddd-35e146b3d952,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
a1ac2102-eb58-4e55-aa4c-89a657866c5b,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
795c666f-44d3-4af4-b26e-dc1a2a4f0103,Hair,Haircut,48,Basic haircut and styling
31d688ef-df0a-459a-8129-2427b153be8c,Hair,Hair Treatment,52,Treatment to improve hair health
8505ecea-7a9f-4ed8-8314-a13ad4a1f92a,Hair,Hair Treatment,52,Treatment to improve hair health
06154ed8-aa98-4bf7-8995-a44b909020ef,Hair,Haircut,48,Basic haircut and styling
e41562a5-241f-47dd-b554-571625a21556,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
452e81e8-ad7e-4ba1-ac72-141463a69710,Hair,Haircut,48,Basic haircut and styling
55d4207a-a4ff-41ef-9584-fe1e226012a0,Hair,Hair Coloring,69,Full hair coloring service
